,No,Date(UTC),Ref1,Source Description 1,Latitude,Longitude,Depth,Constant Deg.,Source No 2,Source Description 2,Type,Magnitude,Source No 3,Source Description 3
0,0,2018-10-14 15:08:32,0, ,36.8578,44.4161,16.97,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
1,0,2018-10-10 09:08:24,0, ,37.4341,35.852,7.02,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
2,0,2018-10-02 15:29:03,0, ,37.6878,37.4016,10.27,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
3,0,2018-09-28 00:26:32,0, ,37.2003,30.4376,78.07,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
4,0,2018-09-26 02:52:21,0, ,35.6846,26.7266,42.77,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
5,0,2018-09-12 18:13:27,0, ,36.4171,28.6991,14.86,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
6,0,2018-09-12 06:21:46,0, ,36.0535,31.2135,36.68,No,7,AFAD-DDA,Mw,5.2,7,AFAD-DDA
7,0,2018-09-10 23:02:57,0, ,37.1958,30.6241,50.33,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
8,0,2018-09-10 15:07:09,0, ,36.9653,27.7633,6.93,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
9,0,2018-09-06 23:53:33,0, ,38.893,26.4483,11.62,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
10,0,2018-08-19 15:22:14,0, ,37.3773,36.3855,10.53,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
11,0,2018-08-19 05:46:14,0, ,35.8861,26.0695,28.49,No,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA
12,0,2018-08-04 07:09:28,0, ,37.4635,36.3113,15.29,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
13,0,2018-07-31 14:36:05,0, ,37.0201,36.0845,10.0,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
14,0,2018-07-26 08:17:51,0, ,37.6546,26.6698,4.5,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
15,0,2018-07-23 02:40:24,0, ,37.5318,29.848000000000006,17.58,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
16,0,2018-07-21 06:15:13,0, ,39.0388,44.1533,7.52,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
17,0,2018-07-12 21:59:36,0, ,38.357,44.8686,10.05,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
18,0,2018-07-08 19:43:31,0, ,35.7018,28.1495,6.25,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
19,0,2018-07-03 13:16:18,0, ,37.6883,37.3968,10.63,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
20,0,2018-06-29 05:30:54,0, ,42.1821,42.5928,5.81,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
21,0,2018-06-27 01:00:48,0, ,38.8206,26.4095,7.0,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
22,0,2018-06-23 03:50:03,0, ,38.6235,44.3003,8.48,No,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA
23,0,2018-06-14 15:42:21,0, ,38.9413,43.5556,13.66,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
24,0,2018-06-09 22:24:53,0, ,36.8686,27.5743,13.55,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
25,0,2018-06-06 13:07:16,0, ,40.8501,44.2193,23.48,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
26,0,2018-05-29 10:25:00,0, ,39.5906,26.0,6.42,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
27,0,2018-05-23 22:10:43,0, ,38.2403,42.392,3.69,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
28,0,2018-05-21 01:09:24,0, ,37.4565,38.595,9.67,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
29,0,2018-05-18 04:35:06,0, ,40.6888,35.4666,12.84,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
30,0,2018-05-06 18:18:14,0, ,39.8856,43.2398,18.7,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
31,0,2018-05-03 02:32:41,0, ,40.8483,31.6535,9.45,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
32,0,2018-05-03 02:04:33,0, ,39.967,26.8993,10.39,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
33,0,2018-05-02 21:16:08,0, ,35.9156,28.3801,46.99,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
34,0,2018-05-01 04:03:48,0, ,36.8803,27.5366,15.69,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
35,0,2018-04-26 11:37:41,0, ,37.8166,29.3133,15.68,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
36,0,2018-04-24 00:34:29,0, ,37.5836,38.5036,9.79,No,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA
37,0,2018-04-13 17:55:47,0, ,37.0928,31.9581,10.38,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
38,0,2018-04-13 17:14:00,0, ,37.0911,31.953000000000007,10.76,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
39,0,2018-04-10 15:56:15,0, ,36.6636,25.9386,18.99,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
40,0,2018-04-07 21:16:31,0, ,40.8526,31.6393,10.47,No,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA
